Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned
Real-time/embedded systems development,5,Real-time/embedded systems development 5,"Designs and develops real-time/embedded architectures and systems to meet agreed system requirements._x000D_
Plans and manages the development of complex real-time/embedded systems and selects the approaches and techniques to be used. _x000D_
Analyses design options and trade-offs between hardware and software, makes recommendations and assesses and manages associated risks. Ensures effective validation, verification and testing is undertaken throughout development._x000D_
Oversees the integration of multiple sub-systems into the overall system.",designs develops realtimeembedded architectures systems meet agreed system requirements_xd_ plans manages development complex realtimeembedded systems selects approaches techniques used _xd_ analyses design options tradeoffs hardware software makes recommendations assesses manages associated risks ensures effective validation verification testing undertaken throughout development_xd_ oversees integration multiple subsystems overall system
Real-time/embedded systems development,6,Real-time/embedded systems development 6,"Provides overall direction and leadership in the development of real-time/embedded systems. _x000D_
Develops organisational policies, standards and guidelines for real-time/embedded systems architectures and designs. _x000D_
Plans and leads strategic, large and complex real-time/embedded system developments.  Identifies opportunities to exploit new technologies and improve existing technologies and practices.  _x000D_
Drives adherence to technical strategies, systems architectures and the implementation of risk-based verification, validation and testing. Develops effective implementation and procurement strategies.",provides overall direction leadership development realtimeembedded systems _xd_ develops organisational policies standards guidelines realtimeembedded systems architectures designs _xd_ plans leads strategic large complex realtimeembedded system developments identifies opportunities exploit new technologies improve existing technologies practices _xd_ drives adherence technical strategies systems architectures implementation riskbased verification validation testing develops effective implementation procurement strategies
Safety engineering,2,Safety engineering 2,"Assists with safety engineering tasks under routine supervision._x000D_
Supports the documentation of hazard and risk analysis activities._x000D_
Helps collect safety assurance evidence using agreed methods and procedures.",assists safety engineering tasks routine supervision_xd_ supports documentation hazard risk analysis activities_xd_ helps collect safety assurance evidence using agreed methods procedures
Safety engineering,3,Safety engineering 3,"Contributes to hazard and risk analysis during system development and implementation using agreed methods and procedures. _x000D_
Documents the results of hazard and risk analysis activities._x000D_
Contributes to the collection of safety assurance evidence using appropriate methods and tools. _x000D_
Undertakes all work in accordance with agreed safety, technical and quality standards.",contributes hazard risk analysis system development implementation using agreed methods procedures _xd_ documents results hazard risk analysis activities_xd_ contributes collection safety assurance evidence using appropriate methods tools _xd_ undertakes work accordance agreed safety technical quality standards
Safety engineering,4,Safety engineering 4,"Contributes to identifying, analysing and documenting hazards and safety risks using agreed methods and procedures._x000D_
Contributes to the specification of safety requirements. _x000D_
Analyses and documents safety validation results during system development and implementation._x000D_
Contributes to developing and maintaining project safety assurance plans. Gathers safety assurance evidence for safety case preparation.",contributes identifying analysing documenting hazards safety risks using agreed methods procedures_xd_ contributes specification safety requirements _xd_ analyses documents safety validation results system development implementation_xd_ contributes developing maintaining project safety assurance plans gathers safety assurance evidence safety case preparation
Safety engineering,5,Safety engineering 5,"Identifies and analyses hazards and contributes to identifying and evaluating risk reduction measures, ensuring these are adequately documented. _x000D_
Specifies safety-related systems architectures for defined safety levels. _x000D_
Develops and maintains project safety assurance plans. Monitors implementation and compliance. Ensures safety assurance evidence is gathered for safety case preparation._x000D_
Works with system architects, designers and developers to assure safety requirements implementation.",identifies analyses hazards contributes identifying evaluating risk reduction measures ensuring adequately documented _xd_ specifies safetyrelated systems architectures defined safety levels _xd_ develops maintains project safety assurance plans monitors implementation compliance ensures safety assurance evidence gathered safety case preparation_xd_ works system architects designers developers assure safety requirements implementation
Safety engineering,6,Safety engineering 6,"Takes full responsibility for hazard analysis and risk evaluation, safety-related systems architectural design and safety compliance planning._x000D_
Leads the definition and allocation of safety requirements for the system, according to the system's nature and required safety level.  _x000D_
Takes responsibility for the safety-related aspects of multiple complex or high safety integrity level projects.",takes full responsibility hazard analysis risk evaluation safetyrelated systems architectural design safety compliance planning_xd_ leads definition allocation safety requirements system according systems nature required safety level _xd_ takes responsibility safetyrelated aspects multiple complex high safety integrity level projects
Safety assessment,4,Safety assessment 4,"Collects safety assurance evidence using appropriate methods and tools. _x000D_
Undertakes all work in accordance with agreed safety, technical and quality standards.",collects safety assurance evidence using appropriate methods tools _xd_ undertakes work accordance agreed safety technical quality standards
Safety assessment,5,Safety assessment 5,"Undertakes safety analyses using agreed techniques to verify or validate that safety requirements are implemented. _x000D_
Participates in system safety assessments._x000D_
Creates safety assessment reports and recommends and defines how a system's safety requirements can be satisfied.",undertakes safety analyses using agreed techniques verify validate safety requirements implemented _xd_ participates system safety assessments_xd_ creates safety assessment reports recommends defines systems safety requirements satisfied
Safety assessment,6,Safety assessment 6,"Champions and promotes safety practices in the organisation. _x000D_
Leads safety assessments according to organisational safety policies and standards._x000D_
Defines and implements organisational policies and standards for system safety assessment._x000D_
Assures compliance with defined standards and policies and oversees overall safety lifecycle assessment activities.",champions promotes safety practices organisation _xd_ leads safety assessments according organisational safety policies standards_xd_ defines implements organisational policies standards system safety assessment_xd_ assures compliance defined standards policies oversees overall safety lifecycle assessment activities
Radio frequency engineering,2,Radio frequency engineering 2,"Assists with setting up, tuning and functional checks of radio frequency devices and software. _x000D_
Resolves faults down to line replaceable unit level or escalates according to given procedures. _x000D_
Carries out user confidence checks and escalates faults according to given procedures. _x000D_
Integrates RF devices with software applications using static configurations.",assists setting tuning functional checks radio frequency devices software _xd_ resolves faults line replaceable unit level escalates according given procedures _xd_ carries user confidence checks escalates faults according given procedures _xd_ integrates rf devices software applications using static configurations
Radio frequency engineering,3,Radio frequency engineering 3,"Deploys, sets up, tunes and calibrates RF devices and software following maintenance schedules and using appropriate tools and test equipment. _x000D_
Incorporates hardware/firmware modifications. Interprets automatic fault/performance indications and resolves faults down to discrete component level or escalates according to given procedures. _x000D_
Implements communication protocols between system elements in accordance with defined standards. _x000D_
Integrates RF devices with software applications, incorporating dynamic reconfiguration of elements under software control to optimise their operational performance.",deploys sets tunes calibrates rf devices software following maintenance schedules using appropriate tools test equipment _xd_ incorporates hardwarefirmware modifications interprets automatic faultperformance indications resolves faults discrete component level escalates according given procedures _xd_ implements communication protocols system elements accordance defined standards _xd_ integrates rf devices software applications incorporating dynamic reconfiguration elements software control optimise operational performance
Radio frequency engineering,4,Radio frequency engineering 4,"Investigates and resolves system-wide fault conditions using a wide range of diagnostic tools and techniques. _x000D_
Reconfigures equipment to circumvent temporary outages. Specifies, selects and integrates RF devices in a system. _x000D_
Defines internal communication protocols for transmission over the available frequencies. _x000D_
Reconfigures devices and software to optimise performance.",investigates resolves systemwide fault conditions using wide range diagnostic tools techniques _xd_ reconfigures equipment circumvent temporary outages specifies selects integrates rf devices system _xd_ defines internal communication protocols transmission available frequencies _xd_ reconfigures devices software optimise performance
Radio frequency engineering,5,Radio frequency engineering 5,"Monitors system performance, recommends equipment modifications and changes to operating procedures, servicing methods and schedules. _x000D_
Develops maintenance schedules and procedures. Approves equipment upgrades and modifications. _x000D_
Reviews industry and national standards on relevant RF protocols and regulations. _x000D_
Measures and evaluates the effectiveness of RF devices and software.",monitors system performance recommends equipment modifications changes operating procedures servicing methods schedules _xd_ develops maintenance schedules procedures approves equipment upgrades modifications _xd_ reviews industry national standards relevant rf protocols regulations _xd_ measures evaluates effectiveness rf devices software
Radio frequency engineering,6,Radio frequency engineering 6,"Provides overall direction and leadership for the use of RF based devices and software. _x000D_
Specifies requirements for radio frequency equipment performance and sets maintenance policy. _x000D_
Identifies opportunities to exploit new technologies and improve existing technologies and practices._x000D_
Develops effective implementation and procurement strategies.",provides overall direction leadership use rf based devices software _xd_ specifies requirements radio frequency equipment performance sets maintenance policy _xd_ identifies opportunities exploit new technologies improve existing technologies practices_xd_ develops effective implementation procurement strategies
Animation development,2,Animation development 2,"Assists in the creation of basic visual and audio components for animations under routine supervision. _x000D_
Follows established procedures and guidelines and contributes to the development of simple animations using standard tools. _x000D_
Helps create and maintain documentation.",assists creation basic visual audio components animations routine supervision _xd_ follows established procedures guidelines contributes development simple animations using standard tools _xd_ helps create maintain documentation
Animation development,3,Animation development 3,"Builds visual and audio components using animation software. _x000D_
Uses design tools to evolve rapid prototypes of interactive systems and user interfaces._x000D_
Uses visual design tools and organic modelling techniques to create and animate virtual characters within a game or system design.",builds visual audio components using animation software _xd_ uses design tools evolve rapid prototypes interactive systems user interfaces_xd_ uses visual design tools organic modelling techniques create animate virtual characters within game system design
Animation development,4,Animation development 4,"Builds visual and audio components and integrates them into the system structure._x000D_
Uses design tools to evolve rapid prototypes and assess the viability of design concepts for interactive systems and user interfaces. _x000D_
Uses complex visual design tools and organic modelling techniques to create and animate virtual characters within a game or system design.",builds visual audio components integrates system structure_xd_ uses design tools evolve rapid prototypes assess viability design concepts interactive systems user interfaces _xd_ uses complex visual design tools organic modelling techniques create animate virtual characters within game system design
Animation development,5,Animation development 5,"Manages iterations of level design and storytelling, documenting the overall flow and architecture of a game or similar system. _x000D_
Develops conceptual structures into design blueprints to create high-level structures and runtime architectures for websites and virtual environments._x000D_
Oversees the integration of animations with game logic, physics and artificial intelligence systems.",manages iterations level design storytelling documenting overall flow architecture game similar system _xd_ develops conceptual structures design blueprints create highlevel structures runtime architectures websites virtual environments_xd_ oversees integration animations game logic physics artificial intelligence systems
Animation development,6,Animation development 6,"Provides overall creative direction in the conception and design of animation products such as games and simulations._x000D_
Establishes animation development strategies, pipelines and quality assurance processes. _x000D_
Adapts or develops new methods and organisational capabilities and drives adoption of, and adherence to, policies and standards.",provides overall creative direction conception design animation products games simulations_xd_ establishes animation development strategies pipelines quality assurance processes _xd_ adapts develops new methods organisational capabilities drives adoption adherence policies standards
Data management,2,Data management 2,"Assists in implementing data management activities under close guidance and supervision._x000D_
Helps create and maintain documentation of data management activities. _x000D_
Helps identify and report issues and discrepancies.",assists implementing data management activities close guidance supervision_xd_ helps create maintain documentation data management activities _xd_ helps identify report issues discrepancies
Data management,3,Data management 3,"Implements standard data management practices based on detailed organisational requirements._x000D_
Monitors and maintains data quality through regular reviews and validation checks.    _x000D_
Communicates the details of data management procedures to others, helping with their understanding and compliance.",implements standard data management practices based detailed organisational requirements_xd_ monitors maintains data quality regular reviews validation checks _xd_ communicates details data management procedures others helping understanding compliance
Data management,4,Data management 4,"Devises and implements data governance and master data management processes for specific subsets of data. _x000D_
Assesses the integrity of data from multiple sources. _x000D_
Advises on transformation of data between formats or media. Maintains and implements data handling procedures. _x000D_
Enables data availability, integrity and searchability through formal data and metadata structures and protection measures.",devises implements data governance master data management processes specific subsets data _xd_ assesses integrity data multiple sources _xd_ advises transformation data formats media maintains implements data handling procedures _xd_ enables data availability integrity searchability formal data metadata structures protection measures
Data management,5,Data management 5,"Devises and implements data governance and master data management processes. _x000D_
Derives data management structures and metadata to support consistent data retrieval, integration, analysis, pattern recognition and interpretation across the organisation._x000D_
Independently validates external information from multiple sources.  Plans effective data storage, sharing and publishing practices within the organisation._x000D_
Identifies and addresses issues preventing optimal use of information assets. Provides expert advice to maximise data asset value, ensuring data quality and compliance.",devises implements data governance master data management processes _xd_ derives data management structures metadata support consistent data retrieval integration analysis pattern recognition interpretation across organisation_xd_ independently validates external information multiple sources plans effective data storage sharing publishing practices within organisation_xd_ identifies addresses issues preventing optimal use information assets provides expert advice maximise data asset value ensuring data quality compliance
Data management,6,Data management 6,"Leads the strategic direction for data management and data governance, establishing policies and frameworks that align with business and regulatory requirements. Derives an overall strategy of master data management that supports the development and secure operation of data and digital services. _x000D_
Creates organisational policies, standards and guidelines for data management, ensuring ethical principles are applied._x000D_
Plans, establishes and manages processes for regular and consistent access to external data sources, ensuring their validation and integration.",leads strategic direction data management data governance establishing policies frameworks align business regulatory requirements derives overall strategy master data management supports development secure operation data digital services _xd_ creates organisational policies standards guidelines data management ensuring ethical principles applied_xd_ plans establishes manages processes regular consistent access external data sources ensuring validation integration
Data modelling and design,2,Data modelling and design 2,"Establishes, modifies or maintains simple data structures and associated components. _x000D_
Uses specific data modelling and design techniques under guidance.",establishes modifies maintains simple data structures associated components _xd_ uses specific data modelling design techniques guidance
Data modelling and design,3,Data modelling and design 3,"Applies standard data modelling and design techniques based upon a detailed understanding of organisational requirements. _x000D_
Establishes, modifies and maintains data structures and associated components. _x000D_
Communicates and explain the details of data structures and components to others.",applies standard data modelling design techniques based upon detailed understanding organisational requirements _xd_ establishes modifies maintains data structures associated components _xd_ communicates explain details data structures components others
Data modelling and design,4,Data modelling and design 4,"Investigates enterprise data requirements where there is some complexity and ambiguity.  _x000D_
Plans data modelling and design activities, selecting appropriate techniques and levels of detail to meet objectives. _x000D_
Provides advice and guidance to others using the data structures and associated components.",investigates enterprise data requirements complexity ambiguity _xd_ plans data modelling design activities selecting appropriate techniques levels detail meet objectives _xd_ provides advice guidance others using data structures associated components
Data modelling and design,5,Data modelling and design 5,"Sets standards for data modelling and design tools and techniques, advises on their application and ensures compliance. _x000D_
Manages the investigation of enterprise data requirements based on a detailed understanding of information requirements. _x000D_
Coordinates the application of analysis, design and modelling techniques to establish, modify or maintain data structures and their associated components. _x000D_
Manages the iteration, review and maintenance of data requirements and data models.",sets standards data modelling design tools techniques advises application ensures compliance _xd_ manages investigation enterprise data requirements based detailed understanding information requirements _xd_ coordinates application analysis design modelling techniques establish modify maintain data structures associated components _xd_ manages iteration review maintenance data requirements data models
Database design,2,Database design 2,"Assists in creating and documenting detailed database designs under routine supervision. _x000D_
Follows established procedures and guidelines. _x000D_
Helps create and maintain documentation.",assists creating documenting detailed database designs routine supervision _xd_ follows established procedures guidelines _xd_ helps create maintain documentation
Database design,3,Database design 3,"Interprets installation standards to meet project needs and produces database or data warehouse component specifications. _x000D_
Develops physical database or data warehouse design elements, within set policies, to meet data requirements.",interprets installation standards meet project needs produces database data warehouse component specifications _xd_ develops physical database data warehouse design elements within set policies meet data requirements
Database design,4,Database design 4,"Implements physical database designs to support transactional data requirements for performance and availability. _x000D_
Develops and maintains specialist knowledge of database and data warehouse concepts, design principles, architectures, software and facilities. _x000D_
Assesses proposed changes to object/data structures and evaluates alternative options. _x000D_
Implements data warehouse designs that support business intelligence and data analytics.",implements physical database designs support transactional data requirements performance availability _xd_ develops maintains specialist knowledge database data warehouse concepts design principles architectures software facilities _xd_ assesses proposed changes objectdata structures evaluates alternative options _xd_ implements data warehouse designs support business intelligence data analytics
Database design,5,Database design 5,"Provides specialist expertise in the design characteristics of database management systems or data warehouse products/services. _x000D_
Provides expert guidance in the selection, provision and use of database and data warehouse architectures, software and facilities. _x000D_
Ensures design policies optimise transactional data systems for performance and availability while meeting the needs of business intelligence and analytics platforms.",provides specialist expertise design characteristics database management systems data warehouse productsservices _xd_ provides expert guidance selection provision use database data warehouse architectures software facilities _xd_ ensures design policies optimise transactional data systems performance availability meeting needs business intelligence analytics platforms
Data analytics,2,Data analytics 2,"Assists in data preparation and analysis activities under direction. _x000D_
Processes and validates data to support analytics. _x000D_
Generates standard reports and insights using established tools and methods.",assists data preparation analysis activities direction _xd_ processes validates data support analytics _xd_ generates standard reports insights using established tools methods
Data analytics,3,Data analytics 3,"Supports data analytics by gathering and preparing data from multiple sources. _x000D_
Applies analytical and statistical methods and software tools to analyse data and develop reports. _x000D_
Assists in identifying trends, patterns and insights that inform business decisions. _x000D_
Collaborates with team members to refine analysis techniques and maintain data quality.",supports data analytics gathering preparing data multiple sources _xd_ applies analytical statistical methods software tools analyse data develop reports _xd_ assists identifying trends patterns insights inform business decisions _xd_ collaborates team members refine analysis techniques maintain data quality
Data analytics,4,Data analytics 4,"Conducts end-to-end data analysis, defining data requirements and ensuring data integrity. _x000D_
Applies advanced analytical and statistical techniques to extract meaningful insights and develop predictive models._x000D_
Communicates complex findings to stakeholders in an understandable manner. _x000D_
Contributes to the development of data analytics processes and standards. Identifies opportunities for improving data analytics practices.",conducts endtoend data analysis defining data requirements ensuring data integrity _xd_ applies advanced analytical statistical techniques extract meaningful insights develop predictive models_xd_ communicates complex findings stakeholders understandable manner _xd_ contributes development data analytics processes standards identifies opportunities improving data analytics practices
Data analytics,5,Data analytics 5,"Manages data analytics activities, establishing frameworks and methodologies aligned with business objectives and data governance policies. _x000D_
Leads the implementation of data analytics solutions. Translates business needs into analytics requirements and identifies data-driven solutions. _x000D_
Guides the selection and application of advanced analytical techniques. _x000D_
Communicates insights and recommendations to senior stakeholders, influencing strategic decisions.",manages data analytics activities establishing frameworks methodologies aligned business objectives data governance policies _xd_ leads implementation data analytics solutions translates business needs analytics requirements identifies datadriven solutions _xd_ guides selection application advanced analytical techniques _xd_ communicates insights recommendations senior stakeholders influencing strategic decisions
Data analytics,6,Data analytics 6,"Develops organisational strategies and roadmaps for data analytics. _x000D_
Sets policies, standards and recommended practices for the use of data and data analytical techniques._x000D_
Leads initiatives to build data analytics capabilities and develop a data-driven culture._x000D_
Oversees the delivery of analytics projects and programmes. Promotes the ethical use of data and data analytics.",develops organisational strategies roadmaps data analytics _xd_ sets policies standards recommended practices use data data analytical techniques_xd_ leads initiatives build data analytics capabilities develop datadriven culture_xd_ oversees delivery analytics projects programmes promotes ethical use data data analytics
Data analytics,7,Data analytics 7,"Directs the creation and review of a cross-functional, enterprise-wide approach and culture for generating value from data analytics and data science. _x000D_
Drives the identification, evaluation and adoption of data analytics and data science capabilities to transform organisational performance. Leads the provision of the organisation’s data analytics and data science capabilities._x000D_
Ensures the strategic application of data analytics and data science is embedded in the governance and leadership of the organisation. _x000D_
Aligns business strategies, enterprise transformation and data analytics and data science strategies.",directs creation review crossfunctional enterprisewide approach culture generating value data analytics data science _xd_ drives identification evaluation adoption data analytics data science capabilities transform organisational performance leads provision organisations data analytics data science capabilities_xd_ ensures strategic application data analytics data science embedded governance leadership organisation _xd_ aligns business strategies enterprise transformation data analytics data science strategies
Data science,2,Data science 2,"Under routine supervision, applies specified data science techniques to data._x000D_
Analyses and reports findings and addresses simple issues, using algorithms included within standard software frameworks and tools.",routine supervision applies specified data science techniques data_xd_ analyses reports findings addresses simple issues using algorithms included within standard software frameworks tools
Data science,3,Data science 3,"Applies standard data science techniques to new problems and datasets using specialised programming techniques._x000D_
Identifies and selects appropriate data sources and prepares data to be used by data science models._x000D_
Evaluates the outcomes and performance of data science models. Identifies and implements opportunities to train and improve models and the data they use. _x000D_
Publishes and reports on model outputs to meet customer needs and conform to agreed standards.",applies standard data science techniques new problems datasets using specialised programming techniques_xd_ identifies selects appropriate data sources prepares data used data science models_xd_ evaluates outcomes performance data science models identifies implements opportunities train improve models data use _xd_ publishes reports model outputs meet customer needs conform agreed standards
Data science,4,Data science 4,"Investigates problems and datasets to assess the usefulness of data science solutions. _x000D_
Applies diverse data science techniques and specialised programming languages. Understands and applies rules and guidelines specific to the industry and business, and anticipates risks and other implications of modelling._x000D_
Selects, acquires and integrates data for analysis. Formulates hypotheses and evaluates data science models. Advises on the effectiveness of specific techniques based on analysis findings and research. _x000D_
Contributes to the development, evaluation, monitoring and deployment of data science solutions.",investigates problems datasets assess usefulness data science solutions _xd_ applies diverse data science techniques specialised programming languages understands applies rules guidelines specific industry business anticipates risks implications modelling_xd_ selects acquires integrates data analysis formulates hypotheses evaluates data science models advises effectiveness specific techniques based analysis findings research _xd_ contributes development evaluation monitoring deployment data science solutions
Data science,5,Data science 5,"Plans, coordinates and drives all stages of the development of data science solutions. _x000D_
Provides expert advice to evaluate the problems to be solved and the need for data science solutions. Identifies and justifies what data sources to use or acquire. _x000D_
Specifies and applies appropriate data science techniques and specialised programming languages._x000D_
Critically reviews the benefits and value of data science techniques and tools and recommends improvements. Contributes to developing policy, standards and guidelines for developing, evaluating, monitoring and deploying data science solutions.",plans coordinates drives stages development data science solutions _xd_ provides expert advice evaluate problems solved need data science solutions identifies justifies data sources use acquire _xd_ specifies applies appropriate data science techniques specialised programming languages_xd_ critically reviews benefits value data science techniques tools recommends improvements contributes developing policy standards guidelines developing evaluating monitoring deploying data science solutions
Data science,6,Data science 6,"Champions and leads the introduction and use of data science to drive innovation and business value. _x000D_
Develops and drives adoption of and adherence to organisational policies, standards, guidelines and methods for data science._x000D_
Sets direction and leads in the introduction and use of data science techniques, methodologies and tools. Leads the development of organisational capabilities for data science. _x000D_
Plans and leads strategic, large and complex data science initiatives to generate insights, create value and drive decision-making.",champions leads introduction use data science drive innovation business value _xd_ develops drives adoption adherence organisational policies standards guidelines methods data science_xd_ sets direction leads introduction use data science techniques methodologies tools leads development organisational capabilities data science _xd_ plans leads strategic large complex data science initiatives generate insights create value drive decisionmaking
Machine learning,2,Machine learning 2,"Assists in data preparation, model training and evaluation tasks under routine supervision. _x000D_
Uses standard machine learning frameworks and tools to develop basic models for well-defined problems. _x000D_
Documents results and contributes to maintaining machine learning solutions.",assists data preparation model training evaluation tasks routine supervision _xd_ uses standard machine learning frameworks tools develop basic models welldefined problems _xd_ documents results contributes maintaining machine learning solutions
Machine learning,3,Machine learning 3,"Applies established machine learning techniques and algorithms to solve business problems. _x000D_
Selects and prepares data for model training and evaluation. _x000D_
Trains, optimises and validates machine learning models using standard tools and frameworks. _x000D_
Deploys models into production and monitors their performance. Communicates results and limitations to stakeholders.",applies established machine learning techniques algorithms solve business problems _xd_ selects prepares data model training evaluation _xd_ trains optimises validates machine learning models using standard tools frameworks _xd_ deploys models production monitors performance communicates results limitations stakeholders
Machine learning,4,Machine learning 4,"Assesses the suitability of machine learning and designs and develops solutions for a range of business problems._x000D_
Selects and applies appropriate techniques and algorithms based on data characteristics and business requirements. Provides guidance to others._x000D_
Engineers features and optimises model performance. Implements algorithms and contributes to development, evaluation, monitoring and deployment. Applies industry-specific rules and guidelines, anticipating risks and implications._x000D_
Collaborates with cross-functional teams to integrate machine learning models into production systems. Conducts in-depth performance analysis and troubleshoots issues.",assesses suitability machine learning designs develops solutions range business problems_xd_ selects applies appropriate techniques algorithms based data characteristics business requirements provides guidance others_xd_ engineers features optimises model performance implements algorithms contributes development evaluation monitoring deployment applies industryspecific rules guidelines anticipating risks implications_xd_ collaborates crossfunctional teams integrate machine learning models production systems conducts indepth performance analysis troubleshoots issues
Machine learning,5,Machine learning 5,"Leads the development and implementation of machine learning solutions for complex, high-impact business problems._x000D_
Architects end-to-end machine learning pipelines and systems, incorporating MLOps practices. Evaluates and selects tools, frameworks and infrastructure for machine learning projects. _x000D_
Establishes practices and standards for machine learning development and operations. Provides expert advice and guidance on machine learning techniques and applications._x000D_
Collaborates with stakeholders to align machine learning initiatives with organisational goals.",leads development implementation machine learning solutions complex highimpact business problems_xd_ architects endtoend machine learning pipelines systems incorporating mlops practices evaluates selects tools frameworks infrastructure machine learning projects _xd_ establishes practices standards machine learning development operations provides expert advice guidance machine learning techniques applications_xd_ collaborates stakeholders align machine learning initiatives organisational goals
Machine learning,6,Machine learning 6,"Sets the strategic direction and roadmap for machine learning adoption and innovation within the organisation. _x000D_
Establishes governance frameworks and recommended protocols for responsible, ethical and sustainable development and use of machine learning. _x000D_
Leads the development of organisational capabilities, policies, standards and guidelines in machine learning. _x000D_
Collaborates with senior stakeholders to identify high-impact opportunities for machine learning and drives their implementation. Follows research and industry trends and integrates them into organisational practices.",sets strategic direction roadmap machine learning adoption innovation within organisation _xd_ establishes governance frameworks recommended protocols responsible ethical sustainable development use machine learning _xd_ leads development organisational capabilities policies standards guidelines machine learning _xd_ collaborates senior stakeholders identify highimpact opportunities machine learning drives implementation follows research industry trends integrates organisational practices
Business intelligence,2,Business intelligence 2,"Assists with the creation of regular business intelligence reports using standard tools. _x000D_
Supports data preparation from existing sources.",assists creation regular business intelligence reports using standard tools _xd_ supports data preparation existing sources
Business intelligence,3,Business intelligence 3,"Sources and prepares data for analysis and performs standard business intelligence analysis activities. _x000D_
Checks the integrity and validity of data sources. Creates and delivers standard reports in accordance with stakeholder needs and conforming to agreed standards. _x000D_
Investigates the need for new or revised business intelligence analysis.  _x000D_
Contributes to the recommendation of improvements. Engages with stakeholders under direction.",sources prepares data analysis performs standard business intelligence analysis activities _xd_ checks integrity validity data sources creates delivers standard reports accordance stakeholder needs conforming agreed standards _xd_ investigates need new revised business intelligence analysis _xd_ contributes recommendation improvements engages stakeholders direction
Business intelligence,4,Business intelligence 4,"Supports business intelligence needs of specific management or governance processes or operational areas. _x000D_
Investigates the need for business intelligence reporting and analysis where there is some complexity and ambiguity. _x000D_
Selects and applies non-standard business intelligence tools and techniques to provide insights and aid decision-making. Selects, acquires and integrates data for analysis and verifies the data's quality and integrity._x000D_
Identifies opportunities to digitise and streamline operational data handling and optimise business intelligence capabilities.",supports business intelligence needs specific management governance processes operational areas _xd_ investigates need business intelligence reporting analysis complexity ambiguity _xd_ selects applies nonstandard business intelligence tools techniques provide insights aid decisionmaking selects acquires integrates data analysis verifies datas quality integrity_xd_ identifies opportunities digitise streamline operational data handling optimise business intelligence capabilities
Business intelligence,5,Business intelligence 5,"Plans and manages business intelligence activities. _x000D_
Ensures business intelligence processes, procedures and practices are robust, efficient and fit for purpose, focusing on automation, key controls and data quality. Advises on the available standards, procedures, methods, tools and techniques._x000D_
Manages reviews of the benefits and value of business intelligence techniques and tools and recommends improvements. _x000D_
Contributes to the development of analytics policies, standards and guidelines.",plans manages business intelligence activities _xd_ ensures business intelligence processes procedures practices robust efficient fit purpose focusing automation key controls data quality advises available standards procedures methods tools techniques_xd_ manages reviews benefits value business intelligence techniques tools recommends improvements _xd_ contributes development analytics policies standards guidelines
Data engineering,2,Data engineering 2,"Assists in developing and implementing data pipelines and data stores. _x000D_
Performs administrative tasks to provide data accessibility, retrievability, security and protection._x000D_
Supports the monitoring of data pipeline operations, identifying issues and escalating as needed. _x000D_
Participates in data migration and conversion tasks under routine supervision.",assists developing implementing data pipelines data stores _xd_ performs administrative tasks provide data accessibility retrievability security protection_xd_ supports monitoring data pipeline operations identifying issues escalating needed _xd_ participates data migration conversion tasks routine supervision
Data engineering,3,Data engineering 3,"Follows standard approaches and established design patterns to create and implement simple data pipelines and data stores to acquire and prepare data. _x000D_
Applies data engineering standards and tools to create and maintain data pipelines and perform extract, transform and load (ETL) processes, incorporating security and data integrity practices._x000D_
Contributes to data migration and conversion projects, ensuring data integrity and consistency._x000D_
Conducts routine data quality checks and remediation.",follows standard approaches established design patterns create implement simple data pipelines data stores acquire prepare data _xd_ applies data engineering standards tools create maintain data pipelines perform extract transform load etl processes incorporating security data integrity practices_xd_ contributes data migration conversion projects ensuring data integrity consistency_xd_ conducts routine data quality checks remediation
Data engineering,4,Data engineering 4,"Designs, implements and maintains complex data engineering solutions to acquire and prepare data. _x000D_
Creates and maintains data pipelines to connect data across data stores, applications and organisations.  Builds in compliance with data governance and security standards._x000D_
Supports the development of continuous integration and deployment practices.  Monitors and optimises pipeline performance and scalability. _x000D_
Conducts complex data quality checking and remediation. Leads data migration and data conversion activities.",designs implements maintains complex data engineering solutions acquire prepare data _xd_ creates maintains data pipelines connect data across data stores applications organisations builds compliance data governance security standards_xd_ supports development continuous integration deployment practices monitors optimises pipeline performance scalability _xd_ conducts complex data quality checking remediation leads data migration data conversion activities
