Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cleaned,skills_skillner,skills_skillner_qe,skills_ner_bert,skills_skillner_keybert,skills_ner_bert_keybert,skills_skillner_qe_keybert,skills_skillner_rake,skills_skillner_yake,skills_ner_bert_rake,skills_ner_bert_yake,skills_skillner_count,skills_skillner_qe_count,skills_ner_bert_count,skills_skillner_keybert_count,skills_ner_bert_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count,skills_ner_bert_rake_count,skills_ner_bert_yake_count
Penetration testing,6,Penetration testing 6,"Determines penetration testing policy and owns the supporting processes. _x000D_
Manages all penetration testing activities within the organisation. Assesses and advises on the practicality of testing process alternatives. _x000D_
Establishes capability for continual improvement and invention in penetration testing and leads the implementation of new approaches. _x000D_
Assesses suppliers' development and testing capabilities. Manages client relationships with respect to penetration testing.",determines penetration testing policy owns supporting processes _xd_ manages penetration testing activities within organisation assesses advises practicality testing process alternatives _xd_ establishes capability continual improvement invention penetration testing leads implementation new approaches _xd_ assesses suppliers development testing capabilities manages client relationships respect penetration testing,"['penetration testing', 'alternatives', 'manages', 'xd', 'activities', 'development testing', 'advises', 'manages client']","['grapple', 'xd', 'wield', 'do', 'option', 'apprise', 'action', 'advises', 'manages client', 'bodily process', 'bring off', 'superintend', 'supervise', 'choice', 'care', 'natural process', 'contend', 'penetration testing', 'pull off', 'give notice', 'manages', 'carry off', 'make do', 'rede', 'counsel', 'handle', 'apprize', 'suggest', 'activeness', 'activity', 'oversee', 'finagle', 'get by', 'body process', 'natural action', 'cope', 'notify', 'alternatives', 'manage', 'bodily function', 'wangle', 'activities', 'make out', 'advise', 'alternative', 'send word', 'development testing', 'negociate', 'deal', 'propose']",['penetration testing'],"['penetration testing alternatives', 'testing advises manages', 'manages xd activities', 'activities development testing', 'client']","['penetration testing', 'penetration', 'testing']","['grapple xd', 'action advises manages', 'client bodily process', 'wield option apprise', 'word development testing']",['penetration testing alternatives manages xd activities development testing advises manages client'],"['penetration testing alternatives', 'advises manages client', 'activities development testing', 'development testing advises', 'testing alternatives manages', 'testing advises manages', 'penetration testing', 'manages client', 'activities development', 'testing alternatives', 'alternatives manages', 'development testing', 'testing advises', 'advises manages', 'penetration']",['penetration testing'],"['penetration testing', 'penetration', 'testing']",8,50,1,5,3,5,1,15,1,3
Records management,1,Records management 1,"Follows detailed guidance to acknowledge receipt of records, including the capture of essential metadata._x000D_
Delivers digital and physical records in line with agreed procedures.",follows detailed guidance acknowledge receipt records including capture essential metadata_xd_ delivers digital physical records line agreed procedures,"['digital', 'physical']","['digital', 'forcible', 'strong-arm', 'physical']",[],"['digital physical', 'digital', 'physical']",[],"['digital forcible strong', 'forcible strong arm', 'arm physical', 'digital', 'forcible']",['digital physical'],"['digital physical', 'digital', 'physical']",[],[],2,4,0,3,0,5,1,3,0,0
Records management,2,Records management 2,"Assists in the collection, delivery and retention of records. _x000D_
Identifies and applies appropriate metadata._x000D_
Uses established methods to transform records between formats or media, following organisational policies and procedures. Identifies and reports potential risks or issues related to information handling and security._x000D_
Performs administrative tasks to maintain accessibility, retrievability, integrity, security and protection of records.",assists collection delivery retention records _xd_ identifies applies appropriate metadata_xd_ uses established methods transform records formats media following organisational policies procedures identifies reports potential risks issues related information handling security_xd_ performs administrative tasks maintain accessibility retrievability integrity security protection records,"['maintain', 'organisational policy', 'xd', 'accessibility', 'collection', 'integrity', 'records formats']","['observe', 'handiness', 'maintain', 'xd', 'asseverate', 'exert', 'assert', 'accessibility', 'wield', 'collecting', 'solicitation', 'appeal', 'compendium', 'assemblage', 'collection', 'preserve', 'availableness', 'approachability', 'hold', 'conserve', 'availability', 'accumulation', 'uphold', 'keep up', 'keep', 'sustain', 'organisational policy', 'aggregation', 'wholeness', 'unity', 'assembling', 'integrity', 'records formats', 'ingathering', 'defend']",['integrity'],"['accessibility collection integrity', 'policy xd accessibility', 'organisational policy xd', 'integrity records', 'records formats']",['integrity'],"['uphold sustain organisational', 'accessibility wield collecting', 'availableness approachability hold', 'handiness maintain xd', 'integrity records formats']",['maintain organisational policy xd accessibility collection integrity records formats'],"['maintain organisational policy', 'integrity records formats', 'accessibility collection integrity', 'collection integrity records', 'maintain organisational', 'records formats', 'organisational policy', 'policy xd accessibility', 'accessibility collection', 'collection integrity', 'integrity records', 'maintain', 'formats', 'organisational', 'policy']",['integrity'],['integrity'],7,35,1,5,1,5,1,15,1,1
Records management,3,Records management 3,"Maintains key metadata for records, including ownership and category information._x000D_
Configures routine controls to restrict record operations to approved actions only. Conducts routine searches for records required to support authorised requests. Supports users in finding and accessing records._x000D_
Uses ethical and reliable methods to transform data between formats or media, following organisational policies and being aware of potential issues when handling information._x000D_
Transforms data between formats or media using ethical and reliable methods. Follows organisational policies and actively identifies potential risks in information handling.",maintains key metadata records including ownership category information_xd_ configures routine controls restrict record operations approved actions conducts routine searches records required support authorised requests supports users finding accessing records_xd_ uses ethical reliable methods transform data formats media following organisational policies aware potential issues handling information_xd_ transforms data formats media using ethical reliable methods follows organisational policies actively identifies potential risks information handling,"['operations', 'reliable', 'maintains', 'transform data', 'organisational policy', 'controls', 'accessing', 'data formats', 'actively', 'metadata', 'transforms data']","['reliable', 'military operation', 'surgical procedure', 'mental process', 'performance', 'maintain', 'restraint', 'asseverate', 'wield', 'manipulate', 'curb', 'functioning', 'controller', 'preserve', 'dependable', 'keep in line', 'master', 'uphold', 'command', 'honest', 'keep up', 'keep', 'operate', 'controls', 'trading operations', 'contain', 'ascendance', 'see', 'metadata', 'transforms data', 'dominance', 'ascertain', 'mathematical operation', 'control', 'ascendancy', 'observe', 'maintains', 'moderate', 'transform data', 'exert', 'assert', 'actively', 'insure', 'mastery', 'see to it', 'process', 'ensure', 'get at', 'surgical operation', 'access', 'hold', 'cognitive operation', 'conserve', 'check', 'ascendency', 'operations', 'hold in', 'control condition', 'authentic', 'verify', 'operation', 'cognitive process', 'sustain', 'organisational policy', 'accessing', 'ascendence', 'procedure', 'data formats', 'mathematical process', 'surgery', 'surgical process', 'true', 'assure', 'defend']",[],"['data formats actively', 'data organisational policy', 'metadata transforms', 'reliable maintains transform', 'policy controls accessing']",[],"['operation control ascendancy', 'reliable military', 'process ensure surgical', 'master uphold command', 'data formats']",['operations reliable maintains transform data organisational policy controls accessing data formats actively metadata transforms data'],"['operations reliable maintains', 'organisational policy controls', 'policy controls accessing', 'formats actively metadata', 'reliable maintains transform', 'actively metadata transforms', 'data organisational policy', 'accessing data formats', 'data formats actively', 'controls accessing data', 'maintains transform data', 'transform data organisational', 'metadata transforms data', 'operations reliable', 'reliable maintains']",[],[],11,74,0,5,0,5,1,15,0,0
Records management,4,Records management 4,"Supports the implementation of records management policies and practices including the approved disposal of records._x000D_
Conducts complex or sensitive searches for records to address authorised requests._x000D_
Monitors and reports on the implementation of effective controls for records management including metadata and access controls. Recommends remediation actions as required._x000D_
Provides advice and guidance to enable appropriate records management practices to be adopted across the organisation.",supports implementation records management policies practices including approved disposal records_xd_ conducts complex sensitive searches records address authorised requests_xd_ monitors reports implementation effective controls records management including metadata access controls recommends remediation actions required_xd_ provides advice guidance enable appropriate records management practices adopted across organisation,"['remediation actions', 'controls', 'access control', 'metadata', 'adopted', 'record management']","['restraint', 'borrow', 'dramatise', 'manipulate', 'curb', 'take on', 'controller', 'adopted', 'adopt', 'espouse', 'keep in line', 'take up', 'master', 'command', 'operate', 'follow', 'controls', 'contain', 'ascendance', 'see', 'metadata', 'dominance', 'ascertain', 'control', 'ascendancy', 'take', 'moderate', 'sweep up', 'remediation actions', 'dramatize', 'insure', 'mastery', 'see to it', 'ensure', 'hold', 'record management', 'check', 'ascendency', 'hold in', 'control condition', 'acquire', 'verify', 'ascendence', 'adoptive', 'take in', 'embrace', 'assure', 'assume', 'access control', 'take over']",[],"['access control metadata', 'adopted record management', 'remediation actions', 'metadata adopted', 'actions controls']",[],"['ascertain control ascendancy', 'restraint borrow dramatise', 'hold record management', 'command operate follow', 'moderate sweep remediation']",['remediation actions controls access control metadata adopted record management'],"['adopted record management', 'remediation actions controls', 'metadata adopted record', 'actions controls access', 'access control metadata', 'control metadata adopted', 'controls access control', 'remediation actions', 'record management', 'metadata adopted', 'adopted record', 'actions controls', 'controls access', 'access control', 'control metadata']",[],[],6,50,0,5,0,5,1,15,0,0
Records management,5,Records management 5,"Ensures implementation of records management policies covering all aspects of retention and disposal._x000D_
Manages access controls for records, including authorising access and approving the release of potentially sensitive information. Conducts and oversees complex record searches, seeking legal guidance when necessary._x000D_
Reviews new change proposals and provides specialist advice on records management. Assesses and manages records-related risks._x000D_
Contributes to the development of policy, standards and procedures for compliance with records-related legislation.",ensures implementation records management policies covering aspects retention disposal_xd_ manages access controls records including authorising access approving release potentially sensitive information conducts oversees complex record searches seeking legal guidance necessary_xd_ reviews new change proposals provides specialist advice records management assesses manages recordsrelated risks_xd_ contributes development policy standards procedures compliance recordsrelated legislation,"['development policy', 'sensitive information', 'manages', 'access control', 'legislation', 'standards procedures', 'access', 'record management']","['memory access', 'admittance', 'access code', 'grapple', 'entree', 'legislating', 'wield', 'do', 'standards procedures', 'sensitive information', 'bring off', 'superintend', 'supervise', 'legislation', 'accession', 'care', 'contend', 'pull off', 'manages', 'approach', 'admission', 'carry off', 'make do', 'handle', 'get at', 'oversee', 'access', 'record management', 'finagle', 'get by', 'cope', 'development policy', 'manage', 'wangle', 'statute law', 'lawmaking', 'make out', 'access control', 'negociate', 'deal']",[],"['access control legislation', 'development policy sensitive', 'information manages', 'procedures access record', 'standards procedures']",[],"['access control', 'management finagle cope', 'supervise legislation accession', 'standards procedures sensitive', 'information bring superintend']",['development policy sensitive information manages access control legislation standards procedures access record management'],"['development policy sensitive', 'access record management', 'policy sensitive information', 'sensitive information manages', 'control legislation standards', 'legislation standards procedures', 'information manages access', 'manages access control', 'access control legislation', 'standards procedures access', 'procedures access record', 'development policy', 'record management', 'policy sensitive', 'sensitive information']",[],[],8,40,0,5,0,5,1,15,0,0
Analytical classification and coding,2,Analytical classification and coding 2,"Accurately assigns classifications/labels to low complexity information under supervision. _x000D_
Understands and applies relevant classification/labelling systems, standards and guidelines. _x000D_
Participates in quality assurance activities such as peer review or supervisor checks.",accurately assigns classificationslabels low complexity information supervision _xd_ understands applies relevant classificationlabelling systems standards guidelines _xd_ participates quality assurance activities peer review supervisor checks,"['peer review', 'quality assurance', 'xd', 'activities', 'supervision']","['natural action', 'bodily process', 'superintendence', 'bodily function', 'peer review', 'quality assurance', 'xd', 'oversight', 'activities', 'activeness', 'activity', 'supervising', 'action', 'natural process', 'supervision', 'body process']","['quality assurance', 'peer']","['xd activities supervision', 'assurance xd activities', 'quality assurance xd', 'peer review quality', 'supervision']","['quality assurance peer', 'quality assurance', 'assurance peer', 'quality', 'assurance']","['activity supervising action', 'process superintendence bodily', 'xd oversight activities', 'quality assurance xd', 'function peer review']",['peer review quality assurance xd activities supervision'],"['peer review quality', 'review quality assurance', 'peer review', 'activities supervision', 'review quality', 'quality assurance', 'assurance xd activities', 'peer', 'supervision', 'review', 'quality', 'assurance', 'activities']",['quality assurance peer'],"['quality assurance peer', 'quality assurance', 'assurance peer', 'quality', 'peer', 'assurance']",5,16,2,5,5,5,1,13,1,6
Analytical classification and coding,3,Analytical classification and coding 3,"Independently assigns accurate classifications/labels to a broad range of information. _x000D_
Interprets complex information and chooses appropriate classifications/labels. _x000D_
Participates in team quality improvement initiatives. _x000D_
Advises and guides others on classification/labelling practices.",independently assigns accurate classificationslabels broad range information _xd_ interprets complex information chooses appropriate classificationslabels _xd_ participates team quality improvement initiatives _xd_ advises guides others classificationlabelling practices,"['xd', 'advises', 'quality improvement']","['give notice', 'notify', 'xd', 'quality improvement', 'rede', 'counsel', 'advise', 'apprize', 'suggest', 'send word', 'apprise', 'advises', 'propose']",['quality improvement'],"['xd advises quality', 'advises quality improvement', 'improvement', 'quality', 'xd']","['quality improvement', 'improvement', 'quality']","['notify xd quality', 'rede counsel advise', 'word apprise advises', 'improvement', 'suggest send']",['xd advises quality improvement'],"['advises quality improvement', 'quality improvement', 'advises quality', 'improvement', 'advises', 'quality']",['quality improvement'],"['quality improvement', 'quality', 'improvement']",3,13,1,5,3,5,1,6,1,3
Analytical classification and coding,4,Analytical classification and coding 4,"Assigns classifications/labels to highly complex information. _x000D_
Performs quality assurance checks on the work of others. Investigates and corrects complex classification/labelling errors. _x000D_
Delivers training to team members. _x000D_
Contributes to the development of classification/labelling processes and guidelines.",assigns classificationslabels highly complex information _xd_ performs quality assurance checks work others investigates corrects complex classificationlabelling errors _xd_ delivers training team members _xd_ contributes development classificationlabelling processes guidelines,"['xd', 'quality assurance', 'investigates']","['inquire', 'look into', 'enquire', 'xd', 'quality assurance', 'investigate', 'investigates']",['quality assurance'],"['xd quality assurance', 'quality assurance investigates', 'xd quality', 'investigates', 'xd']","['quality assurance', 'assurance', 'quality']","['xd quality assurance', 'enquire xd quality', 'quality assurance investigate', 'inquire look enquire', 'investigate investigates']",['xd quality assurance investigates'],"['quality assurance investigates', 'assurance investigates', 'quality assurance', 'investigates', 'quality', 'assurance']",['quality assurance'],"['quality assurance', 'quality', 'assurance']",3,7,1,5,3,5,1,6,1,3
Analytical classification and coding,5,Analytical classification and coding 5,"Leads team quality assurance and training for information classification/labelling. _x000D_
Develops and implements audit methodologies for assessing classification and labelling accuracy and consistency._x000D_
Collaborates with subject matter experts to improve source information quality. Analyses and reports on classification/labelling quality. _x000D_
Contributes to organisational information classification/labelling strategy.",leads team quality assurance training information classificationlabelling _xd_ develops implements audit methodologies assessing classification labelling accuracy consistency_xd_ collaborates subject matter experts improve source information quality analyses reports classificationlabelling quality _xd_ contributes organisational information classificationlabelling strategy,"['xd', 'quality assurance', 'source information', 'information quality', 'quality analyses', 'collaborates', 'audit', 'subject matter']","['cooperate', 'scrutinize', 'scrutinise', 'inspect', 'collaborate', 'xd', 'quality assurance', 'join forces', 'get together', 'audited account', 'source information', 'subject matter', 'quality analyses', 'collaborates', 'information quality', 'audit']",['quality assurance'],"['xd quality assurance', 'information information quality', 'quality analyses collaborates', 'collaborates audit subject', 'assurance source information']","['quality assurance', 'assurance', 'quality']","['scrutinise inspect collaborate', 'quality analyses collaborates', 'information quality audit', 'cooperate', 'assurance join']",['xd quality assurance source information information quality quality analyses collaborates audit subject matter'],"['audit subject matter', 'analyses collaborates audit', 'collaborates audit subject', 'assurance source information', 'quality assurance source', 'quality analyses collaborates', 'source information information', 'quality quality analyses', 'information information quality', 'subject matter', 'information quality quality', 'assurance source', 'analyses collaborates', 'collaborates audit', 'audit subject']",['quality assurance'],"['quality assurance', 'quality', 'assurance']",8,16,1,5,3,5,1,15,1,3
Analytical classification and coding,6,Analytical classification and coding 6,"Sets organisational information classification/labelling standards, policies and procedures. _x000D_
Designs and oversees quality audit programmes. _x000D_
Leads strategic interventions to improve information classification/labelling. _x000D_
Engages with industry bodies and collaborates to define and improve standards and working practices.",sets organisational information classificationlabelling standards policies procedures _xd_ designs oversees quality audit programmes _xd_ leads strategic interventions improve information classificationlabelling _xd_ engages industry bodies collaborates define improve standards working practices,"['collaborates', 'xd', 'industry', 'quality audit']","['cooperate', 'industriousness', 'quality audit', 'collaborate', 'xd', 'join forces', 'industry', 'get together', 'collaborates', 'diligence', 'manufacture']",[],"['collaborates xd industry', 'industry quality audit', 'xd industry quality', 'quality audit', 'industry']",[],"['cooperate industriousness quality', 'collaborates diligence manufacture', 'forces industry collaborates', 'audit collaborate xd', 'join']",['collaborates xd industry quality audit'],"['industry quality audit', 'collaborates xd industry', 'quality audit', 'industry quality', 'collaborates', 'audit', 'industry', 'quality']",[],[],4,11,0,5,0,5,1,8,0,0
Database administration,2,Database administration 2,"Executes operational procedures, runs automation scripts and performs routine maintenance and monitoring of databases._x000D_
Adjusts automation tasks as instructed to meet operational standards for databases._x000D_
Reports on database performance, addresses issues directly when possible, or escalates to others for resolution.",executes operational procedures runs automation scripts performs routine maintenance monitoring databases_xd_ adjusts automation tasks instructed meet operational standards databases_xd_ reports database performance addresses issues directly possible escalates others resolution,"['operational', 'automation', 'executes', 'scripts', 'instructed', 'database performance']","['run', 'functional', 'operational', 'automation', 'in operation', 'playscript', 'scripts', 'script', 'mechanization', 'mechanisation', 'do', 'book', 'apprize', 'instructed', 'handwriting', 'apprise', 'action', 'fulfil', 'hand', 'carry through', 'operable', 'useable', 'put to death', 'operating', 'executes', 'carry out', 'execute', 'learn', 'teach', 'fulfill', 'perform', 'accomplish', 'instruct', 'usable', 'database performance']",[],"['operational automation executes', 'automation executes scripts', 'scripts instructed database', 'instructed database performance', 'scripts instructed']",[],"['functional operational automation', 'playscript scripts', 'teach fulfill perform', 'apprize instructed handwriting', 'mechanization mechanisation book']",['operational automation executes scripts instructed database performance'],"['operational automation executes', 'instructed database performance', 'automation executes scripts', 'executes scripts instructed', 'scripts instructed database', 'operational automation', 'database performance', 'automation executes', 'executes scripts', 'scripts instructed', 'instructed database', 'operational', 'performance', 'automation', 'executes']",[],[],6,35,0,5,0,5,1,15,0,0
Database administration,3,Database administration 3,"Provisions, installs, configures and ensures the maintenance and reliability of databases._x000D_
Monitors databases for load, performance and security events. Reports metrics and resolves operational issues._x000D_
Executes standard operational procedures, including database backups and restorations._x000D_
Automates routine database administration tasks to specifications using standard scripts and tools.",provisions installs configures ensures maintenance reliability databases_xd_ monitors databases load performance security events reports metrics resolves operational issues_xd_ executes standard operational procedures including database backups restorations_xd_ automates routine database administration tasks specifications using standard scripts tools,"['operational', 'executes', 'scripts', 'installs', 'database administration', 'automates', 'tools', 'maintenance reliability']","['run', 'functional', 'operational', 'automatise', 'creature', 'scripts', 'script', 'cock', 'do', 'instal', 'book', 'puppet', 'putz', 'database administration', 'action', 'fulfil', 'hand', 'operable', 'useable', 'operating', 'carry out', 'execute', 'pecker', 'shaft', 'establish', 'perform', 'tools', 'accomplish', 'install', 'usable', 'instrument', 'joyride', 'peter', 'set up', 'in operation', 'dick', 'installs', 'put in', 'handwriting', 'tool around', 'automatize', 'carry through', 'prick', 'put to death', 'automate', 'executes', 'fulfill', 'tool', 'automates', 'maintenance reliability', 'playscript']",[],"['operational executes scripts', 'tools maintenance reliability', 'installs database administration', 'scripts installs', 'administration automates tools']",[],"['operational automatise creature', 'establish perform tools', 'script cock instal', 'maintenance reliability playscript', 'book puppet putz']",['operational executes scripts installs database administration automates tools maintenance reliability'],"['operational executes scripts', 'tools maintenance reliability', 'executes scripts installs', 'scripts installs database', 'installs database administration', 'database administration automates', 'administration automates tools', 'automates tools maintenance', 'operational executes', 'maintenance reliability', 'executes scripts', 'scripts installs', 'installs database', 'database administration', 'administration automates']",[],[],8,51,0,5,0,5,1,15,0,0
Database administration,4,Database administration 4,"Applies technical expertise to maintain and optimise databases, executing updates and employing automation tools. Configures tools and/or creates scripts to automate database tasks._x000D_
Maintains operational procedures and checks that they are followed, including compliance with security policies. Uses database management tools to monitor load and performance statistics. _x000D_
Investigates and enables the resolution of database operational and security issues. Provides reports and proposals for improvement to stakeholders._x000D_
Contributes to the planning and implementation of database maintenance and updates. Implements agreed database changes and maintenance routines.",applies technical expertise maintain optimise databases executing updates employing automation tools configures tools andor creates scripts automate database tasks_xd_ maintains operational procedures checks followed including compliance security policies uses database management tools monitor load performance statistics _xd_ investigates enables resolution database operational security issues provides reports proposals improvement stakeholders_xd_ contributes planning implementation database maintenance updates implements agreed database changes maintenance routines,"['database operational', 'automate', 'maintain', 'maintains', 'operational', 'security policy', 'automation', 'xd', 'scripts', 'executing', 'operational security', 'tools', 'statistics', 'planning', 'database management', 'investigates']","['database operational', 'functional', 'run', 'security policy', 'xd', 'automatise', 'wield', 'scripts', 'script', 'cock', 'do', 'puppet', 'putz', 'action', 'uphold', 'keep up', 'keep', 'carry out', 'pecker', 'shaft', 'investigate', 'perform', 'statistics', 'contrive', 'database management', 'usable', 'joyride', 'observe', 'peter', 'in operation', 'assert', 'execution', 'mechanisation', 'design', 'dick', 'handwriting', 'conserve', 'tool around', 'automatize', 'inquire', 'prick', 'put to death', 'sustain', 'provision', 'fulfill', 'tool', 'statistic', 'enquire', 'instrument', 'project', 'defend', 'operational', 'maintain', 'automation', 'asseverate', 'creature', 'death penalty', 'mechanization', 'book', 'preserve', 'fulfil', 'hand', 'operable', 'useable', 'look into', 'plan', 'operating', 'execute', 'executing', 'operational security', 'tools', 'planning', 'accomplish', 'maintains', 'exert', 'be after', 'hold', 'investigates', 'carry through', 'automate', 'preparation', 'capital punishment', 'playscript']",['database management'],"['database operational automate', 'operational security policy', 'policy automation xd', 'security tools statistics', 'xd scripts executing']","['database management', 'database', 'management']","['operational maintain automation', 'wield scripts', 'security policy xd', 'capital punishment playscript', 'fulfil hand operable']",['database operational automate maintain maintains operational security policy automation xd scripts executing operational security tools statistics planning database management investigates'],"['database management investigates', 'tools statistics planning', 'security policy automation', 'security tools statistics', 'statistics planning database', 'planning database management', 'scripts executing operational', 'operational security policy', 'executing operational security', 'operational security tools', 'automate maintain maintains', 'database operational automate', 'operational automate maintain', 'maintains operational security', 'maintain maintains operational']",['database management'],"['database management', 'database', 'management']",16,83,1,5,3,5,1,15,1,3
Database administration,5,Database administration 5,"Provides technical leadership to optimise the performance of databases._x000D_
Drives the adoption of tools and automated processes for effective database management and delivery._x000D_
Oversees the planning, installation, maintenance and acceptance of new and updated database components and database-based services. Ensures alignment to service expectations, security requirements and other quality standards._x000D_
Ensures database operational procedures and documentation are current and effective, tracks and addresses operational issues and reports to stakeholders.",provides technical leadership optimise performance databases_xd_ drives adoption tools automated processes effective database management delivery_xd_ oversees planning installation maintenance acceptance new updated database components databasebased services ensures alignment service expectations security requirements quality standards_xd_ ensures database operational procedures documentation current effective tracks addresses operational issues reports stakeholders,"['database operational', 'database management', 'installation', 'security requirements', 'operational', 'adoption', 'database components', 'automated', 'leadership', 'planning', 'tools processes']","['database operational', 'functional', 'leading', 'operational', 'automatise', 'espousal', 'adoption', 'installing', 'operable', 'useable', 'plan', 'operating', 'induction', 'borrowing', 'acceptance', 'leadership', 'planning', 'contrive', 'database management', 'usable', 'preparation', 'installment', 'security requirements', 'facility', 'in operation', 'leaders', 'design', 'be after', 'instalment', 'automatize', 'acceptation', 'machine-controlled', 'automate', 'installation', 'machine-driven', 'provision', 'initiation', 'database components', 'automated', 'project', 'tools processes']","['database management', 'leadership']","['operational database management', 'management installation', 'requirements operational adoption', 'installation security requirements', 'leadership planning tools']","['database management leadership', 'database management', 'management leadership', 'leadership', 'management']","['operational automatise espousal', 'requirements facility operation', 'contrive database management', 'leading operational', 'adoption installing']",['database operational database management installation security requirements operational adoption database components automated leadership planning tools processes'],"['planning tools processes', 'management installation security', 'installation security requirements', 'components automated leadership', 'automated leadership planning', 'leadership planning tools', 'security requirements operational', 'requirements operational adoption', 'database management installation', 'adoption database components', 'database components automated', 'operational adoption database', 'operational database management', 'database operational database', 'tools processes']",['database management leadership'],"['database management leadership', 'database management', 'management leadership', 'database', 'leadership', 'management']",11,41,2,5,5,5,1,15,1,6
Performance management,4,Performance management 4,"Provides operational direction, support and guidance to assigned colleagues. _x000D_
Allocates routine tasks or project work, in line with team objectives and individual capabilities. Monitors quality and performance against agreed criteria to make learning recommendations or to escalate concerns. _x000D_
Coaches colleagues in developing target skills and capabilities in line with team and personal goals.  _x000D_
Facilitates effective working relationships between team members.",provides operational direction support guidance assigned colleagues _xd_ allocates routine tasks project work line team objectives individual capabilities monitors quality performance agreed criteria make learning recommendations escalate concerns _xd_ coaches colleagues developing target skills capabilities line team personal goals _xd_ facilitates effective working relationships team members,"['operational', 'target', 'xd', 'personal', 'monitors quality']","['functional', 'operational', 'xd', 'in operation', 'personal', 'prey', 'fair game', 'operable', 'mark', 'useable', 'target', 'aim', 'objective', 'operating', 'butt', 'object', 'monitors quality', 'place', 'point', 'target area', 'quarry', 'usable', 'direct']",[],"['personal monitors quality', 'xd personal monitors', 'operational target xd', 'quality', 'xd personal']",[],"['target area quarry', 'aim objective operating', 'operational xd operation', 'game operable mark', 'butt object monitors']",['operational target xd personal monitors quality'],"['personal monitors quality', 'operational target', 'monitors quality', 'target xd personal', 'personal monitors', 'operational', 'quality', 'target', 'personal', 'monitors']",[],[],5,23,0,5,0,5,1,10,0,0
Performance management,5,Performance management 5,"Forms, maintains and leads workgroups and individuals to achieve organisational objectives. _x000D_
Delegates objectives and responsibilities, including people management tasks. Sets quality, performance and capability targets aligned with organisational goals. _x000D_
Monitors performance and working relationships and provides feedback to address individual issues. Encourages skill development in line with team and personal goals. Adjusts workload, targets and team capacity to support individual growth. _x000D_
Actively participates in formal processes such as recruitment, reward, promotion and disciplinary procedures.",forms maintains leads workgroups individuals achieve organisational objectives _xd_ delegates objectives responsibilities including people management tasks sets quality performance capability targets aligned organisational goals _xd_ monitors performance working relationships provides feedback address individual issues encourages skill development line team personal goals adjusts workload targets team capacity support individual growth _xd_ actively participates formal processes recruitment reward promotion disciplinary procedures,"['maintains', 'xd', 'monitors performance', 'personal', 'processes recruitment', 'actively', 'targets', 'disciplinary procedure', 'people management']","['observe', 'maintains', 'maintain', 'direct', 'quarry', 'xd', 'asseverate', 'personal', 'exert', 'assert', 'actively', 'wield', 'prey', 'targets', 'fair game', 'preserve', 'hold', 'conserve', 'mark', 'uphold', 'target', 'keep up', 'keep', 'sustain', 'processes recruitment', 'monitors performance', 'aim', 'objective', 'butt', 'object', 'place', 'point', 'defend', 'target area', 'disciplinary procedure', 'people management']",[],"['personal processes recruitment', 'actively targets disciplinary', 'procedure people management', 'maintains xd', 'xd monitors performance']",[],"['observe maintains maintain', 'actively wield prey', 'recruitment monitors performance', 'target area disciplinary', 'quarry xd']",['maintains xd monitors performance personal processes recruitment actively targets disciplinary procedure people management'],"['procedure people management', 'monitors performance personal', 'performance personal processes', 'personal processes recruitment', 'processes recruitment actively', 'recruitment actively targets', 'actively targets disciplinary', 'targets disciplinary procedure', 'disciplinary procedure people', 'maintains xd monitors', 'people management', 'monitors performance', 'performance personal', 'personal processes', 'processes recruitment']",[],[],9,36,0,5,0,5,1,15,0,0
Performance management,6,Performance management 6,"Determines and delegates people management and functional management objectives and responsibilities. _x000D_
Creates and sets the direction for multiple workgroups to achieve strategic organisational objectives. Sets strategy for quality and performance measurement in line with organisational goals. _x000D_
Provides a work environment and resources that allow individuals and workgroups to perform their tasks efficiently. _x000D_
Leads the implementation of formal organisational processes such as recruitment, reward, promotion and disciplinary procedures.",determines delegates people management functional management objectives responsibilities _xd_ creates sets direction multiple workgroups achieve strategic organisational objectives sets strategy quality performance measurement line organisational goals _xd_ provides work environment resources allow individuals workgroups perform tasks efficiently _xd_ leads implementation formal organisational processes recruitment reward promotion disciplinary procedures,"['xd', 'processes recruitment', 'people management', 'functional management', 'work environment', 'strategy quality', 'objectives sets', 'disciplinary procedure', 'resources', 'performance measurement']","['imagination', 'xd', 'processes recruitment', 'performance measurement', 'resourcefulness', 'work environment', 'functional management', 'resource', 'strategy quality', 'objectives sets', 'disciplinary procedure', 'resources', 'people management']",[],"['xd processes recruitment', 'recruitment people management', 'management work environment', 'strategy quality objectives', 'disciplinary procedure resources']",[],"['resources people management', 'xd processes recruitment', 'performance measurement resourcefulness', 'work environment functional', 'objectives sets disciplinary']",['xd processes recruitment people management functional management work environment strategy quality objectives sets disciplinary procedure resources performance measurement'],"['resources performance measurement', 'processes recruitment people', 'work environment strategy', 'environment strategy quality', 'strategy quality objectives', 'quality objectives sets', 'objectives sets disciplinary', 'sets disciplinary procedure', 'disciplinary procedure resources', 'procedure resources performance', 'people management functional', 'functional management work', 'management work environment', 'recruitment people management', 'management functional management']",[],[],10,13,0,5,0,5,1,15,0,0
